;;;Column1;Column2;Column3
Year;;;title;hours;description
year 1;;core module;Algebra;60 hours;This module provides learners with the basic mathematical principles and tools necessary to build their engineering foundation. It will enable them to apply mathematical methods, tools and notations proficiently in the analysis and solution of engineering problems. Topics covered include mathematical functions (polynomials, exponential, logarithms, step functions and trigonometry), commonly used in engineering complex numbers, determinants, matrices and vectors.
year 1;;core module;Calculus;60 hours;This foundation module provides learners with the essential knowledge in calculus. This module helps learners in building skills for solving engineering problems encountered in their course of study. Topics include differentiation and integration of commonly used functions in engineering applications.
year 1;;core module;Effective Communication Skills;30 hours;Communicating well is a vital life skill, benefitting all aspects of our lives from professional life to social gatherings. It is thus important to be proficient in both written and oral communication. This module will enable learners to communicate effectively in different settings and on different collaborative platforms. There will be opportunities to practise and deliver various types of presentations, to learn to competently handle questions, and to effectively incorporate verbal and non-verbal elements when speaking. Learners will also acquire media and information literacy and be able to produce clearly written and well-structured reports and proposals, following standard citation and referencing guidelines.
year 1;;core module;Electrical Principles;60 hours;This module covers electrical fundamentals and their applications in electrical and electronic circuits. Topics covered include principles of electricity, power sources, resistive, capacitive and inductive circuits. Learners will need this knowledge to analyze, interpret and solve engineering problems.
year 1;;core module;Engineering Drawing & Modelling;60 hours;This module provides learners with the knowledge and skills to model the engineering parts and interpret drawings that are derived from the 3D models. Topics covered include orthographic projection, sectional views, assembly drawing, geometric dimensioning and tolerancing. This module will provide learners with the necessary skills in communicating ideas and concepts through engineering drawings, which is one of the necessary and critical skills needed in the design process.
year 1;;core module;Engineering Exploration Project;30 hours;This module aims to develop learners’ innovative and enterprising skills while developing creative and technically robust solutions to real-world challenges. Learners will be able to effectively relate design thinking in the process of exploring innovative and enterprising solutions addressing the real needs that will bring about positive social change.
year 1;;core module;Fundamentals of Innovation and Enterprise;30 hours;Learners will develop attributes that are pervasive and synonymous with being innovative and enterprising for career and life. Through this module learners will develop positive practices when working with data, propose ideas using user-centric approaches and design processes, determine and locate resources, and leverage collaborative practices to formulate solutions.
year 1;;core module;Fundamentals of Mechanics;60 hrs;This module provides learners with the fundamentals of engineering mechanics.  Topics covered include Newton laws, statics of rigid bodies, moment of inertia and bending moments. Fundamentals in dynamics that include kinematics and kinetics of particles will also covered in this module. Learners will acquire fundamental engineering competence to understand and perform engineering-related activities related to statics and dynamics.
year 1;;core module;Introduction to Engineering;60 hours;This module introduces learners to different engineering disciplines by focusing on the application of relevant core engineering disciplines. Topics covered include roles and responsibilities of an engineer, ethics, and sustainability.  Learners will engage in the practice of engineering through the process of conceiving, designing, and implementing solutions to engineering problems, individually and in teams.  Through this, learners will also be able to hone their creative thinking and problem-solving skills, build synergistic teamwork and enhance their communication skills.
year 1;;core module;Materials Technology;60 hours;This module covers the important properties and applications of engineering materials, including ferrous and non-ferrous metals, polymers, composites, and ceramics.  Learners are also exposed to various material properties tests and characterization, material processing methods and different material failure modes. This module serves as a foundation to enable learners to select appropriate materials for specific engineering applications.
year 1;;core module;Programming;60 hours;The practice-oriented module introduces learners to software development methodology. The learners will learn about problem-analysis, problem-solving techniques and develop essential programming skills. The learners will be able to create flowcharts, develop algorithms, write structured programs, test and debug programs.
year 1;;core module;Thermofluids;60 hours;This module introduces the concepts of heat, fundamentals of thermodynamics, and fluid mechanics. Topics covered include temperature, heat capacities, latent heat, heat transfer and the ideal gas law, first laws of thermodynamics, the properties of fluids, the concepts and basic equations of fluid statics, and fluid flow. This module will enable learners to utilize their knowledge to analyse and solve problems relating to heat, heat transfer, ideal gases, fluid statics and fluids in motion.
year 1;;core module;Workplace Digital Skills;30 hours;This module enables learners to use word processing software to create, modify and style document/report effectively and efficiently. Learners will use spreadsheets to manage, organise and model data as well as to perform analysis and report generation. Creation of customised, dynamic and multimedia-style presentations using software tools will also be covered. Through hands-on practices, learners will gain these skills and apply them in project work in preparation for the digital workplace.
year 1;;core module;General Studies;;To provide you an all-rounded education, NYP offers General Studies Modules (GSMs). So besides taking modules related directly to your chosen diploma course, you will get exposed to areas beyond your usual field of study. Through a combination of prescribed and elective inter-disciplinary GSMs, you will gain interesting, practical knowledge that can be beneficial to you as you prepare for the world of work and life after graduation. To learn more about the GSMs offered, click here
year 2 ;;core module;AI Applications;30 hours;AI is pervasive in modern technology enabling new applications and features. Mechatronics systems and robotics too greatly benefit from AI. Some examples include improved human machine interaction, navigation, and object identification & manipulation. Learners will gain an understanding of basic concepts of Artificial Intelligence, different types of machine learning and deep learning fundamentals. Topics covered include data manipulation, search, regression, MLP, CNN and reinforcement learning. Learners will further apply these concepts to solve problems.
year 2 ;;core module;Analogue & Digital Electronics;60 hours;This module covers the structures and characteristics of various electronic devices such as rectifier diodes, special-purpose diodes, and bipolar junction transistors. ?Learners will learn the basic operating principles of these electronics devices and where they are commonly used.
year 2 ;;core module;Automatic Control;60 hours;This module aims to equip learners with knowledge on pneumatics, electrical control devices, sensors, I/O interfacing and programmable logic controller (PLC), GRAFCET and logic program development. The module introduces the fundamental concepts of automatic control system, the methodology of implementing combinational and sequential logic control. Learners will acquire skills in design, development and application of ladder logic program, GRAFCET and function blocks which are widely used in the industry to control the automation equipment or system.
